ciclo_academico,region,porcentaje_de_beca,formas_de_pago,edad,porcentaje_de_discapacidades,numero_discapacidades,numero_reprobaciones,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,final_nota,tasa_aprobacion,Sexo,Tipo_de_est_programa,Tipo_de_ingreso,Estatus_curso,Discapacidad,Status,Tipo_de_pago,Descripcion_beca,Descripcion_descuento,Convenios_contratos,Formas_pago,Tipo_discapacidad,Curso
6,0,10.0,1,24.0,0,0,0,3.05,3.5,3.0,3.12,3.5,1.5,8.84,0.83,1,0,0,0,0,0,2,0,0,0,1,4,28
6,0,10.0,1,24.0,0,0,0,2.81,3.5,2.6,1.79,3.35,2.51,8.28,0.83,1,0,0,0,0,0,2,0,0,0,1,4,24
6,0,10.0,1,24.0,0,0,0,2.69,3.5,2.75,2.56,3.5,2.65,8.83,1.0,1,0,0,0,0,0,2,0,0,0,1,4,25
6,0,10.0,1,24.0,0,0,0,1.97,3.5,1.52,2.11,3.35,3.0,7.73,0.5,1,0,0,0,0,0,2,0,0,0,1,4,26
6,0,10.0,1,24.0,0,0,0,2.64,3.5,2.63,2.61,2.8,2.55,8.37,1.0,1,0,0,0,0,0,2,0,0,0,1,4,27
7,0,10.0,1,24.0,0,0,0,2.63,3.4,2.75,2.88,2.63,2.35,8.32,1.0,1,0,0,0,0,0,2,0,0,0,1,4,9
7,0,10.0,1,24.0,0,0,0,1.81,2.8,1.95,2.31,3.0,2.5,7.19,0.5,1,0,0,0,0,0,2,0,0,0,1,4,1
7,0,10.0,1,24.0,0,0,0,2.81,2.88,2.55,3.04,3.0,1.6,7.94,0.83,1,0,0,0,0,0,2,0,0,0,1,4,30
7,0,10.0,1,24.0,0,0,0,3.0,3.5,2.85,3.42,2.7,3.0,9.24,1.0,1,0,0,0,0,0,2,0,0,0,1,4,31
7,0,10.0,1,24.0,0,0,0,3.0,3.5,3.0,3.04,3.3,2.8,9.32,1.0,1,0,0,0,0,0,2,0,0,0,1,4,32
8,0,10.0,1,24.0,0,0,0,2.83,2.9,3.0,2.25,2.95,2.63,8.28,0.83,1,0,0,0,0,0,2,0,0,0,1,4,10
8,0,10.0,1,24.0,0,0,0,2.44,3.2,3.0,2.84,2.9,3.0,8.69,0.83,1,0,0,0,0,0,2,0,0,0,1,4,36
8,0,10.0,1,24.0,0,0,0,2.45,3.0,3.0,2.69,1.8,3.0,7.97,0.83,1,0,0,0,0,0,2,0,0,0,1,4,42
8,0,10.0,1,24.0,0,0,0,3.0,3.5,2.9,2.83,3.46,2.7,9.2,1.0,1,0,0,0,0,0,2,0,0,0,1,4,4
8,0,10.0,1,24.0,0,0,0,2.69,3.2,2.5,3.25,3.43,2.85,8.96,1.0,1,0,0,0,0,0,2,0,0,0,1,4,34
5,0,10.0,1,24.0,0,0,0,3.19,3.43,2.03,2.83,3.3,2.25,8.5,0.83,1,0,0,0,0,0,2,0,0,0,1,4,6
5,0,10.0,1,24.0,0,0,0,2.81,3.1,2.4,3.25,3.5,2.6,8.8,1.0,1,0,0,0,0,0,2,0,0,0,1,4,18
5,0,10.0,1,24.0,0,0,0,3.38,3.5,1.95,2.69,3.5,3.0,9.0,0.83,1,0,0,0,0,0,2,0,0,0,1,4,19
5,0,10.0,1,24.0,0,0,0,3.13,3.5,3.0,2.44,3.5,3.0,9.3,0.83,1,0,0,0,0,0,2,0,0,0,1,4,41
5,0,10.0,1,24.0,0,0,0,3.0,2.9,2.25,3.2,3.5,2.25,8.6,1.0,1,0,0,0,0,0,2,0,0,0,1,4,17
4,0,10.0,1,24.0,0,0,0,2.56,-1.0,3.5,1.0,-1.0,-1.0,8.5,0.33,1,0,0,0,0,0,2,0,0,0,1,4,8
4,0,10.0,1,24.0,0,0,0,2.94,-1.0,3.5,1.0,-1.0,-1.0,8.8,0.33,1,0,0,0,0,0,2,0,0,0,1,4,21
4,0,10.0,1,24.0,0,0,0,2.3,-1.0,3.5,1.0,-1.0,-1.0,8.5,0.17,1,0,0,0,0,0,2,0,0,0,1,4,5
4,0,10.0,1,24.0,0,0,0,3.06,-1.0,3.5,1.0,-1.0,-1.0,9.0,0.33,1,0,0,0,0,0,2,0,0,0,1,4,20
5,0,15.0,1,24.0,0,0,0,2.88,3.5,2.4,2.83,3.2,3.0,8.91,1.0,1,0,0,0,0,0,2,0,0,0,1,4,22
5,0,15.0,1,24.0,0,0,0,1.97,3.3,2.15,1.95,3.5,2.48,7.68,0.67,1,0,0,0,0,0,2,0,0,0,1,4,51
5,0,15.0,1,24.0,0,0,0,2.75,3.2,1.95,2.25,2.25,2.33,7.37,0.5,1,0,0,0,0,0,2,0,0,0,1,4,7
5,0,15.0,1,24.0,0,0,0,2.38,3.5,3.0,2.56,3.35,2.0,8.4,0.67,1,0,0,0,0,0,2,0,0,0,1,4,23
1,0,0.0,3,28.0,0,0,0,2.48,3.35,2.7,1.31,1.35,2.55,7.43,0.67,2,1,3,0,0,0,1,1,0,1,3,4,40
1,0,0.0,3,28.0,0,0,0,3.16,3.5,2.79,3.15,1.5,2.75,8.43,0.83,2,1,3,0,0,0,1,1,0,1,3,4,2
1,0,0.0,3,28.0,0,0,2,2.57,3.0,2.63,2.95,2.0,-1.0,6.39,0.67,2,1,3,0,0,1,1,1,0,1,3,4,3
1,0,0.0,3,28.0,0,0,2,2.87,3.5,2.7,2.45,0.03,0.82,5.75,0.67,2,1,3,0,0,1,1,1,0,1,3,4,11
1,0,0.0,3,28.0,0,0,2,2.46,3.2,2.6,2.28,1.8,1.0,6.66,0.5,2,1,3,0,0,1,1,1,0,1,3,4,49
1,0,0.0,3,28.0,0,0,2,3.23,3.5,3.0,1.76,0.0,0.75,6.61,0.5,2,1,3,0,0,1,1,1,0,1,3,4,45
1,0,0.0,3,28.0,0,0,2,2.51,2.0,1.58,0.63,1.4,1.35,4.74,0.17,2,1,3,0,0,1,1,1,0,1,3,4,3
1,0,0.0,3,28.0,0,0,2,2.58,3.3,2.9,0.67,0.13,0.5,5.04,0.5,2,1,3,0,0,1,1,1,0,1,3,4,11
1,0,0.0,3,28.0,0,0,2,1.85,1.35,2.4,0.85,1.75,1.0,4.6,0.17,2,1,3,0,0,1,1,1,0,1,3,4,49
1,0,0.0,3,28.0,0,0,2,2.63,3.4,1.05,0.68,0.0,1.73,4.75,0.33,2,1,3,0,0,1,1,1,0,1,3,4,45
6,0,100.0,1,27.0,0,0,0,3.13,3.5,1.5,2.63,3.5,2.5,8.38,0.83,0,0,0,0,0,0,2,0,0,1,1,4,8
