ciclo_academico,edad,numero_discapacidades,aab1_nota,acdb1_nota,apeb1_nota,aab2_nota,acdb2_nota,apeb2_nota,Status_codificado,Sexo_codificado,tipo_de_est_programa_codificado,tipo_de_ingreso_codificado,estatus_curso_codificado,discapacidad_codificado,region_codificado,tipo_de_pago_codificado,descripcion_beca_codificado,descripcion_descuento_codificado,convenios_contratos_codificado,formas_pago_codificado,tipo_discapacidad_codificado,curso_codificado
6,24.0,0,3.05,3.5,3.0,3.12,3.5,1.5,0,1,0,0,0,0,0,2,0,0,0,10,4,28
6,24.0,0,2.81,3.5,2.6,1.79,3.35,2.51,0,1,0,0,0,0,0,2,0,0,0,10,4,24
6,24.0,0,2.69,3.5,2.75,2.56,3.5,2.65,0,1,0,0,0,0,0,2,0,0,0,10,4,25
6,24.0,0,1.97,3.5,1.52,2.11,3.35,3.0,0,1,0,0,0,0,0,2,0,0,0,10,4,26
6,24.0,0,2.64,3.5,2.63,2.61,2.8,2.55,0,1,0,0,0,0,0,2,0,0,0,10,4,27
7,24.0,0,2.63,3.4,2.75,2.88,2.63,2.35,0,1,0,0,0,0,0,2,0,0,0,10,4,9
7,24.0,0,1.81,2.8,1.95,2.31,3.0,2.5,0,1,0,0,0,0,0,2,0,0,0,10,4,1
7,24.0,0,2.81,2.88,2.55,3.04,3.0,1.6,0,1,0,0,0,0,0,2,0,0,0,10,4,30
7,24.0,0,3.0,3.5,2.85,3.42,2.7,3.0,0,1,0,0,0,0,0,2,0,0,0,10,4,31
7,24.0,0,3.0,3.5,3.0,3.04,3.3,2.8,0,1,0,0,0,0,0,2,0,0,0,10,4,32
8,24.0,0,2.83,2.9,3.0,2.25,2.95,2.63,0,1,0,0,0,0,0,2,0,0,0,10,4,10
8,24.0,0,2.44,3.2,3.0,2.84,2.9,3.0,0,1,0,0,0,0,0,2,0,0,0,10,4,36
8,24.0,0,2.45,3.0,3.0,2.69,1.8,3.0,0,1,0,0,0,0,0,2,0,0,0,10,4,42
8,24.0,0,3.0,3.5,2.9,2.83,3.46,2.7,0,1,0,0,0,0,0,2,0,0,0,10,4,4
8,24.0,0,2.69,3.2,2.5,3.25,3.43,2.85,0,1,0,0,0,0,0,2,0,0,0,10,4,34
5,24.0,0,3.19,3.43,2.03,2.83,3.3,2.25,0,1,0,0,0,0,0,2,0,0,0,10,4,6
5,24.0,0,2.81,3.1,2.4,3.25,3.5,2.6,0,1,0,0,0,0,0,2,0,0,0,10,4,18
5,24.0,0,3.38,3.5,1.95,2.69,3.5,3.0,0,1,0,0,0,0,0,2,0,0,0,10,4,19
5,24.0,0,3.13,3.5,3.0,2.44,3.5,3.0,0,1,0,0,0,0,0,2,0,0,0,10,4,41
5,24.0,0,3.0,2.9,2.25,3.2,3.5,2.25,0,1,0,0,0,0,0,2,0,0,0,10,4,17
4,24.0,0,2.56,-1.0,3.5,1.0,-1.0,-1.0,0,1,0,0,0,0,0,2,0,0,0,10,4,8
4,24.0,0,2.94,-1.0,3.5,1.0,-1.0,-1.0,0,1,0,0,0,0,0,2,0,0,0,10,4,21
4,24.0,0,2.3,-1.0,3.5,1.0,-1.0,-1.0,0,1,0,0,0,0,0,2,0,0,0,10,4,5
4,24.0,0,3.06,-1.0,3.5,1.0,-1.0,-1.0,0,1,0,0,0,0,0,2,0,0,0,10,4,20
5,24.0,0,2.88,3.5,2.4,2.83,3.2,3.0,0,1,0,0,0,0,0,2,0,0,0,4,4,22
5,24.0,0,1.97,3.3,2.15,1.95,3.5,2.48,0,1,0,0,0,0,0,2,0,0,0,4,4,51
5,24.0,0,2.75,3.2,1.95,2.25,2.25,2.33,0,1,0,0,0,0,0,2,0,0,0,4,4,7
5,24.0,0,2.38,3.5,3.0,2.56,3.35,2.0,0,1,0,0,0,0,0,2,0,0,0,4,4,23
1,28.0,0,2.48,3.35,2.7,1.31,1.35,2.55,0,2,1,3,0,0,0,1,1,0,1,21,4,40
1,28.0,0,3.16,3.5,2.79,3.15,1.5,2.75,0,2,1,3,0,0,0,1,1,0,1,21,4,2
1,28.0,0,2.57,3.0,2.63,2.95,2.0,-1.0,1,2,1,3,0,0,0,1,1,0,1,21,4,3
1,28.0,0,2.87,3.5,2.7,2.45,0.03,0.82,1,2,1,3,0,0,0,1,1,0,1,21,4,11
1,28.0,0,2.46,3.2,2.6,2.28,1.8,1.0,1,2,1,3,0,0,0,1,1,0,1,21,4,49
1,28.0,0,3.23,3.5,3.0,1.76,0.0,0.75,1,2,1,3,0,0,0,1,1,0,1,21,4,45
1,28.0,0,2.51,2.0,1.58,0.63,1.4,1.35,1,2,1,3,0,0,0,1,1,0,1,21,4,3
1,28.0,0,2.58,3.3,2.9,0.67,0.13,0.5,1,2,1,3,0,0,0,1,1,0,1,21,4,11
1,28.0,0,1.85,1.35,2.4,0.85,1.75,1.0,1,2,1,3,0,0,0,1,1,0,1,21,4,49
1,28.0,0,2.63,3.4,1.05,0.68,0.0,1.73,1,2,1,3,0,0,0,1,1,0,1,21,4,45
6,27.0,0,3.13,3.5,1.5,2.63,3.5,2.5,0,0,0,0,0,0,0,2,0,0,1,10,4,8
6,27.0,0,2.81,3.0,2.45,3.11,2.83,2.61,0,0,0,0,0,0,0,2,0,0,1,10,4,24
6,27.0,0,2.9,1.5,2.2,2.94,3.2,2.4,0,0,0,0,0,0,0,2,0,0,1,10,4,51
6,27.0,0,3.0,3.5,3.0,3.13,2.77,2.0,0,0,0,0,0,0,0,2,0,0,1,10,4,25
6,27.0,0,3.28,3.3,2.93,3.31,3.4,3.0,0,0,0,0,0,0,0,2,0,0,1,10,4,26
6,27.0,0,3.19,3.5,1.5,3.19,3.5,2.85,0,0,0,0,0,0,0,2,0,0,1,10,4,27
6,27.0,0,3.2,3.13,2.75,3.2,3.3,3.0,0,0,0,0,0,0,0,2,0,0,1,10,4,29
7,27.0,0,3.31,3.5,2.6,2.63,3.45,2.5,0,0,0,0,0,0,0,2,0,0,1,10,4,9
7,27.0,0,2.81,2.65,2.15,2.88,3.2,2.25,0,0,0,0,0,0,0,2,0,0,1,10,4,1
7,27.0,0,3.0,3.15,1.3,3.48,3.5,0.0,0,0,0,0,0,0,0,2,0,0,1,10,4,30
7,27.0,0,3.42,3.5,3.0,3.32,1.5,3.0,0,0,0,0,0,0,0,2,0,0,1,10,4,31
7,27.0,0,3.19,2.0,3.0,3.31,2.0,3.0,0,0,0,0,0,0,0,2,0,0,1,10,4,33
3,27.0,0,3.34,3.5,3.0,3.44,3.5,3.0,0,0,0,0,0,0,0,2,0,0,1,10,4,15
3,27.0,0,3.44,3.1,3.0,3.38,3.1,2.0,0,0,0,0,0,0,0,2,0,0,1,10,4,18
3,27.0,0,3.19,3.5,2.1,3.25,3.5,3.0,0,0,0,0,0,0,0,2,0,0,1,10,4,19
3,27.0,0,3.43,3.5,2.8,3.5,3.5,1.3,0,0,0,0,0,0,0,2,0,0,1,10,4,17
4,27.0,0,2.63,-1.0,0.98,1.0,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,1,10,4,6
4,27.0,0,3.13,-1.0,2.75,0.75,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,1,10,4,21
4,27.0,0,3.14,-1.0,1.05,1.0,-1.0,-1.0,1,0,0,0,0,0,0,2,0,0,1,10,4,5
4,27.0,0,3.25,-1.0,2.93,0.97,-1.0,-1.0,0,0,0,0,0,0,0,2,0,0,1,10,4,20
5,27.0,0,2.63,3.35,1.5,2.95,3.28,0.0,0,0,0,0,0,0,0,2,0,0,1,10,4,22
5,27.0,0,3.24,3.1,1.6,2.29,3.5,-1.0,1,0,0,0,0,0,0,2,0,0,1,10,4,51
5,27.0,0,3.17,2.94,1.5,2.83,2.95,1.79,0,0,0,0,0,0,0,2,0,0,1,10,4,7
5,27.0,0,3.06,3.1,3.0,3.0,3.5,2.8,0,0,0,0,0,0,0,2,0,0,1,10,4,23
1,35.0,0,2.66,-1.0,3.5,0.85,-1.0,-1.0,0,0,1,6,0,0,0,1,0,0,1,21,4,40
1,35.0,0,3.0,-1.0,3.5,1.0,-1.0,-1.0,0,0,1,6,0,0,0,1,0,0,1,21,4,2
1,35.0,0,2.5,-1.0,3.5,0.93,-1.0,-1.0,0,0,1,6,0,0,0,1,0,0,1,21,4,3
1,35.0,0,3.06,-1.0,3.5,0.93,-1.0,-1.0,0,0,1,6,0,0,0,1,0,0,1,21,4,11
1,35.0,0,3.19,-1.0,3.4,1.0,-1.0,-1.0,0,0,1,6,0,0,0,1,0,0,1,21,4,49
1,35.0,0,2.66,-1.0,3.29,0.89,-1.0,-1.0,0,0,1,6,0,0,0,1,0,0,1,21,4,45
2,35.0,0,3.36,3.5,3.0,3.44,3.5,1.5,0,0,0,6,0,0,0,1,0,0,1,21,4,12
2,35.0,0,2.85,3.5,2.4,2.7,3.43,3.0,0,0,0,6,0,0,0,1,0,0,1,21,4,47
2,35.0,0,1.87,3.1,2.43,2.75,1.5,3.0,0,0,0,6,0,0,0,1,0,0,1,21,4,13
2,35.0,0,2.93,1.5,2.6,2.9,3.2,1.5,0,0,0,6,0,0,0,1,0,0,1,21,4,14
2,35.0,0,3.35,2.83,2.78,3.32,1.28,2.64,0,0,0,6,0,0,0,1,0,0,1,21,4,50
2,35.0,0,2.69,3.4,2.86,3.44,3.5,3.0,0,0,0,6,0,0,0,1,0,0,1,21,4,46
8,30.0,0,2.33,2.68,2.25,2.47,2.15,3.0,0,0,0,0,0,0,0,1,1,0,1,21,4,9
